year,rt_mean,rt_mean_sd,rt_sd,rt_sd_sd
1995,287,7.4,10.1,2.6
1996,287.8,10.2,10.6,2.8
1997,299.4,6.5,8.4,3
1998,284.7,8.4,9.9,2.7
1999,286.6,8,10,2.6
2000,278.9,5.9,9.6,2.4
2001,282.4,10,10.1,2.6
2002,279.6,8.9,9.7,2.7
2003,276.9,10.4,9.5,2.8
2004,296.8,5.4,8.6,2.7
2005,277.9,4.9,7.9,3.8
2006,290.9,15,9.5,2.8
2007,283,5.2,9.2,2.6
2008,266.4,10.9,8.8,3.1
2009,287.7,5.7,9.1,2.8
2010,281.9,6.3,9.2,2.8
2011,291.5,7.2,9.8,2.5
2012,295,7.7,9.6,2.6
2013,276.2,8,9.2,2.8
2014,285.9,5.5,8.6,3.1
2015,288.5,6.6,9.5,2.5
2016,283.6,10.4,9.6,2.7
